stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,source
63,95063,HOBOKEN,,40.734843,-74.028046,336,rail
86,95086,MIDDLETOWN NY,,41.457488,-74.37039,5965,rail
105,95105,NEW YORK PENN STATION,,40.750046,-73.992358,329,rail
107,95107,NEWARK PENN STATION,,40.734221,-74.164554,336,rail
26326,30771,PENN STATION LIGHT RAIL DEPARTURE,,40.73481,-74.163603,336,rail
37005,30844,34TH STREET LIGHT RAIL STATION,,40.671778,-74.107493,336,rail
38174,95167,FRANK R LAUTENBERG SECAUCUS LOWER LEVEL,,40.761188,-74.075821,333,rail
38187,95168,FRANK R LAUTENBERG SECAUCUS UPPER LEVEL,,40.761188,-74.075821,329,rail
39348,30829,HOBOKEN TERMINAL LIGHT RAIL STATION,,40.734059,-74.029192,336,rail
42545,31061,PENN STATION LIGHT RAIL ARRIVAL,,40.73481,-74.163603,0,rail
258,10101,ALBANY AVE AT PORTER AVE,,39.355829,-74.45861,0,bus
261,10087,ATLANTIC AVE AT NEW YORK AVE,,39.36163,-74.429603,0,bus
286,10070,ATLANTIC AVE AT NEW YORK AVE,,39.361679,-74.428922,0,bus
294,10099,ALBANY AVE AT CROSSAN AVE,,39.35858,-74.460833,0,bus
295,10100,ALBANY AVE AT FILBERT AVE,,39.35755,-74.459992,0,bus
703,11294,WASHINGTON AVE AT NEW YORK AVE,,40.94238,-73.993083,0,bus
704,11308,WASHINGTON AVE AT NEW YORK AVE,,40.94255,-73.993103,0,bus
1449,11084,GOTHAM PKWY AT JONY DR,,40.82819,-74.068901,0,bus
1450,11089,GOTHAM PKWY AT JONY DR,,40.828417,-74.068833,0,bus
1673,17378,MAIN ST AT TONY GALENTO PLAZA,,40.773048,-74.232191,0,bus
1716,17858,NYE AVE AT LINCOLN PL,,40.725148,-74.233731,0,bus
1717,17859,NYE AVE 50' W OF NEW ST,,40.72523,-74.230483,0,bus
1722,17820,GROVE ST AT NYE AVE,,40.722528,-74.224172,0,bus
1739,17840,GROVE ST AT NYE AVE,,40.72275,-74.22413,0,bus
1762,17898,STUYVESANT AVE AT NYE AVE,,40.72503,-74.236802,0,bus
2176,18557,FABYAN PL AT NYE AVE,,40.719779,-74.21797,0,bus
2177,18563,FABYAN PL AT NYE AVE,,40.719968,-74.217903,0,bus
2184,18602,FRANKLIN AVE AT ANTHONY ST,,40.780608,-74.175581,0,bus
2300,18839,PULASKI ST AT NEW YORK AVE,,40.724509,-74.157802,0,bus
2428,18485,CLINTON PL AT NYE AVE,,40.71582,-74.21215,0,bus
2442,18492,CLINTON PL AT NYE AVE,,40.717149,-74.212563,0,bus
2741,21170,WEST SIDE AVE AT CLENDENNY AVE,,40.71913,-74.082951,0,bus
2792,21104,SUMMIT AVE AT MANHATTAN AVE,,40.743688,-74.053961,0,bus
2827,20783,HOBOKEN AVE AT SUMMIT AVE,,40.734659,-74.058621,336,bus
2828,20610,CENTRAL AVE AT HOBOKEN AVE,,40.734599,-74.056763,0,bus
2837,20635,CENTRAL AVE AT MANHATTAN AVE,,40.742537,-74.051831,0,bus
2843,20642,CENTRAL AVE AT HOBOKEN AVE,,40.73441,-74.056972,0,bus
2861,20784,HOBOKEN AVE AT SUMMIT AVE,,40.734859,-74.058991,0,bus
2916,20883,JOURNAL SQUARE TRANSPORTATION CENTER,,40.732059,-74.062111,333,bus
3149,21752,NEW YORK AVE AT 23RD ST,,40.766698,-74.031503,0,bus
3180,21742,32ND ST AT NEW YORK AVE,,40.771398,-74.028591,336,bus
3196,21707,BERGENLINE AVE AT 34TH ST,,40.772719,-74.02883,0,bus
3207,21746,NEW YORK AVE AT 8TH ST,,40.756899,-74.037691,0,bus
3210,21751,NEW YORK AVE AT 21ST ST,,40.765358,-74.03232,0,bus
3211,21753,NEW YORK AVE AT 26TH ST,,40.768499,-74.030333,0,bus
3212,21754,NEW YORK AVE AT 29TH ST,,40.77045,-74.029113,0,bus
3214,21756,NEW YORK AVE AT 37TH ST,,40.774248,-74.026053,0,bus
