property_url,mls,mls_id,status,style,street,unit,city,state,zip_code,beds,full_baths,half_baths,sqft,year_built,list_price,list_date,sold_price,last_sold_date,lot_sqft,price_per_sqft,latitude,longitude,stories,hoa_fee,parking_garage,distance_miles,transit_stop,transit_type,stop_lat,stop_lon
https://www.realtor.com/realestateandhomes-detail/5223485452,HCNJ,250009713,FOR_SALE,CONDOS,86 Clinton St,Apt 4,Hoboken,NJ,07030,2,2,,1314,,980000,2025-05-15,655000,2006-02-16,,746,40.737788,-74.03581,2,418,,0.45536662741312806,HOBOKEN,rail,40.734843,-74.028046
https://www.realtor.com/realestateandhomes-detail/9380210970,HCNJ,250007064,FOR_SALE,CONDOS,75 Liberty Ave,Unit A24,Jersey City,NJ,07306,2,2,,1712,,618000,2025-04-10,,,,361,40.738354,-74.064819,,1100,1,0.45703501139512304,JOURNAL SQUARE TRANSPORTATION CENTER,bus,40.732059,-74.062111
https://www.realtor.com/realestateandhomes-detail/9104952986,GSNJ,3964180,FOR_SALE,MULTI_FAMILY,8 Elm St,,Newark,NJ,07102,9,4,,,,988818,2025-05-20,,,2178,,40.73,-74.171326,3,,,0.4595507033899005,NEWARK PENN STATION,rail,40.734221,-74.164554
https://www.realtor.com/realestateandhomes-detail/6160752733,HCNJ,250010329,FOR_SALE,CONDOS,325 Willow Ave,Apt 3B,Hoboken,NJ,07030,2,2,,1214,,1075000,2025-05-22,945000,2018-07-11,,886,40.741491,-74.033222,2,386,,0.4609655641649617,HOBOKEN TERMINAL,bus,40.735588,-74.02911
https://www.realtor.com/realestateandhomes-detail/5078993285,HCNJ,250009813,FOR_SALE,CONDOS,75 Liberty Ave,Unit E13,Jersey City,NJ,07306,1,1,,988,,465000,2025-05-16,,,,471,40.738379,-74.065207,2,677,,0.465388731196695,JOURNAL SQUARE TRANSPORTATION CENTER,bus,40.732059,-74.062111
https://www.realtor.com/realestateandhomes-detail/9518809309,HCNJ,250007418,FOR_SALE,CONDOS,66 Corbin Ave,Unit 3,Jersey City,NJ,07306,3,3,,1368,,825000,2025-04-16,,,,603,40.732646,-74.071022,2,,,0.46948964757654055,JOURNAL SQUARE TRANSPORTATION CENTER,bus,40.732059,-74.062111
https://www.realtor.com/realestateandhomes-detail/9110306465,HCNJ,250010037,FOR_SALE,CONDOS,43-49 Van Wagenen Ave,Unit 4A,Jersey City,NJ,07306,2,1,,750,,559000,2025-05-19,,,,745,40.731983,-74.071114,2,687,,0.47259968601672464,JOURNAL SQUARE TRANSPORTATION CENTER,bus,40.732059,-74.062111
https://www.realtor.com/realestateandhomes-detail/6777318577,HCNJ,250007764,FOR_SALE,CONDOS,50 Dey St,Apt 557,Jersey City,NJ,07306,2,2,,1278,,699000,2025-04-22,580000,2021-05-12,,547,40.738167,-74.066505,,1235,,0.48044337612047117,JOURNAL SQUARE TRANSPORTATION CENTER,bus,40.732059,-74.062111
https://www.realtor.com/realestateandhomes-detail/6051565663,HCNJ,250008586,FOR_SALE,CONDOS,81 Grand St,Apt 4B,Hoboken,NJ,07030,1,1,,738,,599000,2025-05-01,510000,2019-04-04,,812,40.737753,-74.036399,2,394,1,0.4822188331580419,HOBOKEN,rail,40.734843,-74.028046
https://www.realtor.com/realestateandhomes-detail/5463133466,HCNJ,250010296,FOR_SALE,CONDOS,231 Grand St,Apt 5R,Hoboken,NJ,07030,1,1,,662,,499000,2025-05-22,356000,2017-03-20,,754,40.740737,-74.035374,2,380,,0.4840694088231244,HOBOKEN TERMINAL,bus,40.735588,-74.02911
https://www.realtor.com/realestateandhomes-detail/9703211742,HCNJ,250007601,FOR_SALE,CONDOS,50 Dey St,,Jersey City,NJ,07306,2,2,,1300,,729000,2025-04-17,,,,561,40.738201,-74.066605,,1137,2,0.4850335443838656,JOURNAL SQUARE TRANSPORTATION CENTER,bus,40.732059,-74.062111
https://www.realtor.com/realestateandhomes-detail/6361806928,HCNJ,250010062,FOR_SALE,MULTI_FAMILY,179 Beacon Ave,,Jersey City,NJ,07306,4,2,,,,949000,2025-05-19,250000,2012-07-09,2075,,40.738252,-74.057654,,,,0.4871759209136207,JOURNAL SQUARE TRANSPORTATION CENTER,bus,40.732059,-74.062111
https://www.realtor.com/realestateandhomes-detail/5788731416,HCNJ,250005589,FOR_SALE,CONDOS,358 3rd St,Apt 3R,Hoboken,NJ,07030,1,1,,454,,425000,2025-03-24,,,,936,40.740997,-74.035127,2,610,,0.48891398859040835,HOBOKEN TERMINAL,bus,40.735588,-74.02911
https://www.realtor.com/realestateandhomes-detail/6549546600,HCNJ,250007559,FOR_SALE,CONDOS,226 Willow Ave,Unit 5,Hoboken,NJ,07030,2,2,,1040,,800000,2025-04-17,670000,2020-09-09,,769,40.740354,-74.03397,2,308,,0.49120575808345834,HOBOKEN,rail,40.734843,-74.028046
https://www.realtor.com/realestateandhomes-detail/6083156880,HCNJ,250008781,FOR_SALE,MULTI_FAMILY,294 Hoboken Ave,,Jersey City,NJ,07306,6,3,,,,825000,2025-05-03,140000,1986-12-23,1260,,40.732184,-74.052704,,,,0.49385127413088675,JOURNAL SQUARE TRANSPORTATION CENTER,bus,40.732059,-74.062111
https://www.realtor.com/realestateandhomes-detail/9933082486,HCNJ,250009186,FOR_SALE,CONDOS,452 1st St,Apt 6,Hoboken,NJ,07030,2,1,,646,,575000,2025-05-08,,,,890,40.738773,-74.037544,2,300,,0.49422302752318875,HOBOKEN TERMINAL,bus,40.735588,-74.02911
https://www.realtor.com/realestateandhomes-detail/6916058856,HCNJ,250009537,FOR_SALE,CONDOS,57 Corbin Ave,Apt 24,Jersey City,NJ,07306,1,1,,430,1925,220000,2025-05-14,240833,1998-11-18,4792,512,40.732613,-74.071697,,,,0.49608853982053197,JOURNAL SQUARE TRANSPORTATION CENTER,bus,40.7321,-74.06227
https://www.realtor.com/realestateandhomes-detail/6688033843,HCNJ,250006291,FOR_SALE,CONDOS,215 Clinton St,Apt 2L,Hoboken,NJ,07030,1,1,,607,,550000,2025-04-02,370000,2012-10-23,,906,40.740059,-74.034594,,385,,0.4976500823332886,HOBOKEN,rail,40.734843,-74.028046
https://www.realtor.com/realestateandhomes-detail/5091852024,HCNJ,250006481,FOR_SALE,CONDOS,50 Glenwood Ave,Apt 109,Jersey City,NJ,07306,2,1,,1083,,395000,2025-04-03,250000,2006-10-26,,365,40.727364,-74.069431,,743,,0.49808972562323006,JOURNAL SQUARE TRANSPORTATION CENTER,bus,40.7321,-74.06227
